item_id|item_value
INTEGER|INTEGER
0_C|1_C
===
19500|3
19501|10
19502|8
19503|2
19504|1
19505|9
19506|8
19507|2
19508|2
19509|8
19510|9
19511|2
19512|3
19513|8
19514|3
19515|3
19516|4
19517|1
19518|3
19519|5
19520|8
19521|9
19522|8
19523|10
19524|3
19525|2
19526|5
19527|7
19528|9
19529|4
19530|7
19531|6
19532|9
19533|5
19534|7
19535|10
19536|4
19537|2
19538|6
19539|7
19540|6
19541|5
19542|10
19543|9
19544|9
19545|9
19546|2
19547|9
19548|4
19549|6
19550|3
19551|7
19552|2
19553|3
19554|9
19555|9
19556|6
19557|10
19558|7
19559|1
19560|9
19561|3
19562|4
19563|5
19564|7
19565|8
19566|6
19567|2
19568|3
19569|1
19570|4
19571|3
19572|6
19573|3
19574|9
19575|3
19576|2
19577|4
19578|7
19579|9
19580|10
19581|4
19582|9
19583|10
19584|2
19585|6
19586|5
19587|8
19588|9
19589|9
19590|4
19591|4
19592|9
19593|1
19594|6
19595|8
19596|3
19597|8
19598|9
19599|9
19600|10
19601|3
19602|5
19603|2
19604|8
19605|9
19606|1
19607|8
19608|6
19609|8
19610|8
19611|7
19612|3
19613|4
19614|1
19615|4
19616|2
19617|8
19618|3
19619|3
19620|8
19621|6
19622|8
19623|3
19624|9
19625|6
19626|10
19627|1
19628|10
19629|3
19630|9
19631|5
19632|8
19633|7
19634|3
19635|4
19636|6
19637|1
19638|8
19639|5
19640|2
19641|1
19642|5
19643|9
19644|5
19645|7
19646|9
19647|7
19648|5
19649|1
19650|9
19651|8
19652|2
19653|5
19654|4
19655|9
19656|6
19657|6
19658|3
19659|10
19660|7
19661|4
19662|7
19663|9
19664|6
19665|1
19666|9
19667|6
19668|9
19669|7
19670|7
19671|6
19672|3
19673|9
19674|9
19675|8
19676|4
19677|2
19678|3
19679|7
19680|3
19681|9
19682|9
19683|8
19684|4
19685|4
19686|2
19687|5
19688|5
19689|7
19690|8
19691|9
19692|5
19693|5
19694|1
19695|6
19696|6
19697|7
19698|6
19699|4
19700|3
19701|1
19702|10
19703|4
19704|5
19705|8
19706|6
19707|5
19708|10
19709|4
19710|6
19711|10
19712|4
19713|5
19714|10
19715|8
19716|2
19717|9
19718|5
19719|3
19720|6
19721|3
19722|1
19723|1
19724|6
19725|9
19726|3
19727|5
19728|2
19729|4
19730|10
19731|6
19732|7
19733|9
19734|10
19735|8
19736|7
19737|10
19738|7
19739|6
19740|9
19741|8
19742|9
19743|5
19744|9
19745|7
19746|10
19747|6
19748|1
19749|6
19750|4
19751|7
19752|9
19753|8
19754|5
19755|2
19756|9
19757|1
19758|5
19759|1
19760|3
19761|7
19762|3
19763|4
19764|3
19765|2
19766|10
19767|8
19768|8
19769|8
19770|9
19771|2
19772|10
19773|4
19774|3
19775|1
19776|2
19777|10
19778|7
19779|7
19780|5
19781|10
19782|7
19783|8
19784|10
19785|9
19786|2
19787|2
19788|9
19789|7
19790|6
19791|7
19792|9
19793|1
19794|6
19795|4
19796|5
19797|10
19798|6
19799|3
19800|5
19801|2
19802|10
19803|8
19804|7
19805|4
19806|3
19807|5
19808|4
19809|4
19810|3
19811|4
19812|3
19813|6
19814|5
19815|2
19816|5
19817|8
19818|3
19819|4
19820|10
19821|1
19822|9
19823|4
19824|4
19825|5
19826|5
19827|3
19828|1
19829|10
19830|3
19831|3
19832|3
19833|6
19834|3
19835|6
19836|6
19837|10
19838|10
19839|7
19840|3
19841|7
19842|1
19843|4
19844|1
19845|5
19846|1
19847|2
19848|9
19849|4
19850|4
19851|3
19852|2
19853|8
19854|8
19855|10
19856|7
19857|6
19858|10
19859|5
19860|1
19861|5
19862|6
19863|7
19864|1
19865|2
19866|10
19867|1
19868|6
19869|7
19870|2
19871|10
19872|10
19873|3
19874|1
19875|8
19876|2
19877|9
19878|4
19879|6
19880|7
19881|6
19882|1
19883|4
19884|8
19885|7
19886|5
19887|7
19888|9
19889|3
19890|1
19891|8
19892|6
19893|3
19894|9
19895|6
19896|7
19897|2
19898|8
19899|10
19900|6
19901|6
19902|10
19903|6
19904|4
19905|10
19906|9
19907|5
19908|3
19909|8
19910|3
19911|1
19912|5
19913|1
19914|9
19915|1
19916|7
19917|6
19918|3
19919|6
19920|1
19921|3
19922|4
19923|10
19924|10
19925|7
19926|1
19927|7
19928|8
19929|6
19930|9
19931|1
19932|1
19933|6
19934|9
19935|6
19936|1
19937|4
19938|7
19939|1
19940|1
19941|10
19942|5
19943|4
19944|5
19945|9
19946|1
19947|5
19948|1
19949|3
19950|10
19951|4
19952|10
19953|5
19954|7
19955|7
19956|8
19957|2
19958|7
19959|3
19960|2
19961|10
19962|8
19963|5
19964|1
19965|2
19966|8
19967|2
19968|3
19969|8
19970|1
19971|2
19972|9
19973|4
19974|7
19975|3
19976|6
19977|7
19978|6
19979|10
19980|7
19981|6
19982|1
19983|2
19984|4
19985|7
19986|6
19987|3
19988|1
19989|5
19990|2
19991|9
19992|6
19993|10
19994|8
19995|1
19996|5
19997|1
19998|9
19999|8
