item_id|item_value
INTEGER|INTEGER
0_C|1_C
===
0|3
1|7
2|5
3|9
4|2
5|6
6|6
7|7
8|5
9|1
10|8
11|7
12|8
13|6
14|5
15|8
16|2
17|5
18|1
19|4
20|8
21|7
22|1
23|9
24|7
25|3
26|6
27|2
28|6
29|6
30|7
31|9
32|7
33|7
34|1
35|6
36|9
37|7
38|5
39|2
40|2
41|2
42|10
43|8
44|2
45|5
46|6
47|4
48|8
49|5
50|10
51|4
52|7
53|2
54|4
55|8
56|7
57|3
58|8
59|3
60|5
61|10
62|1
63|10
64|7
65|2
66|2
67|2
68|1
69|7
70|2
71|2
72|3
73|8
74|5
75|9
76|1
77|10
78|10
79|10
80|6
81|7
82|4
83|3
84|6
85|8
86|10
87|9
88|4
89|2
90|3
91|7
92|1
93|1
94|8
95|7
96|5
97|2
98|1
99|10
100|7
101|7
102|3
103|7
104|3
105|5
106|7
107|8
108|1
109|2
110|4
111|4
112|3
113|7
114|1
115|1
116|2
117|7
118|3
119|5
120|8
121|6
122|2
123|8
124|2
125|5
126|10
127|6
128|6
129|2
130|2
131|9
132|3
133|5
134|1
135|6
136|3
137|9
138|2
139|5
140|3
141|7
142|9
143|4
144|10
145|10
146|5
147|5
148|3
149|6
150|8
151|9
152|1
153|6
154|9
155|2
156|4
157|1
158|2
159|1
160|5
161|6
162|4
163|10
164|9
165|10
166|4
167|5
168|10
169|7
170|6
171|7
172|5
173|1
174|8
175|6
176|10
177|6
178|5
179|10
180|10
181|10
182|7
183|6
184|2
185|10
186|3
187|4
188|1
189|1
190|8
191|7
192|10
193|7
194|8
195|9
196|1
197|3
198|1
199|8
200|6
201|1
202|6
203|4
204|2
205|4
206|3
207|3
208|3
209|1
210|7
211|4
212|1
213|1
214|2
215|6
216|3
217|10
218|5
219|5
220|3
221|3
222|4
223|7
224|8
225|3
226|3
227|6
228|1
229|6
230|9
231|10
232|8
233|4
234|5
235|1
236|9
237|9
238|5
239|1
240|3
241|1
242|6
243|3
244|3
245|5
246|1
247|9
248|10
249|9
250|8
251|7
252|6
253|8
254|5
255|6
256|4
257|5
258|4
259|2
260|2
261|2
262|4
263|3
264|8
265|5
266|7
267|7
268|4
269|7
270|7
271|1
272|1
273|4
274|2
275|1
276|9
277|3
278|7
279|10
280|7
281|3
282|5
283|5
284|1
285|10
286|9
287|8
288|3
289|3
290|10
291|5
292|3
293|9
294|5
295|2
296|2
297|3
298|9
299|2
300|9
301|6
302|5
303|9
304|5
305|5
306|4
307|9
308|1
309|1
310|2
311|9
312|8
313|8
314|3
315|1
316|8
317|10
318|2
319|4
320|1
321|9
322|5
323|4
324|6
325|9
326|1
327|2
328|10
329|5
330|9
331|5
332|5
333|4
334|3
335|3
336|2
337|2
338|7
339|4
340|7
341|2
342|1
343|9
344|5
345|8
346|7
347|1
348|3
349|4
350|7
351|8
352|5
353|1
354|1
355|7
356|8
357|3
358|10
359|4
360|8
361|1
362|3
363|2
364|10
365|10
366|1
367|7
368|10
369|4
370|3
371|5
372|4
373|2
374|3
375|3
376|3
377|3
378|4
379|2
380|3
381|9
382|10
383|1
384|9
385|3
386|9
387|6
388|6
389|10
390|10
391|8
392|6
393|3
394|9
395|3
396|9
397|7
398|1
399|3
400|8
401|3
402|1
403|10
404|3
405|2
406|9
407|6
408|5
409|7
410|1
411|4
412|1
413|4
414|10
415|4
416|9
417|4
418|8
419|6
420|8
421|10
422|4
423|9
424|5
425|8
426|2
427|1
428|1
429|2
430|8
431|3
432|1
433|4
434|4
435|5
436|8
437|3
438|4
439|4
440|6
441|8
442|4
443|5
444|6
445|7
446|4
447|7
448|4
449|6
450|5
451|10
452|3
453|8
454|4
455|1
456|7
457|10
458|9
459|10
460|3
461|5
462|9
463|4
464|7
465|6
466|7
467|2
468|3
469|3
470|3
471|10
472|2
473|2
474|9
475|9
476|2
477|3
478|4
479|5
480|6
481|2
482|7
483|5
484|9
485|9
486|9
487|9
488|10
489|1
490|5
491|9
492|8
493|7
494|7
495|2
496|3
497|2
498|2
499|3
500|2
501|5
502|10
503|2
504|2
505|10
506|4
507|4
508|9
509|6
510|10
511|6
512|4
513|8
514|3
515|10
516|6
517|1
518|9
519|2
520|2
521|1
522|4
523|2
524|7
525|10
526|7
527|3
528|3
529|2
530|6
531|2
532|10
533|10
534|3
535|7
536|7
537|10
538|1
539|4
540|9
541|9
542|8
543|3
544|2
545|2
546|5
547|1
548|1
549|2
550|6
551|2
552|8
553|8
554|2
555|2
556|6
557|2
558|4
559|7
560|7
561|3
562|4
563|6
564|10
565|3
566|9
567|5
568|6
569|9
570|10
571|7
572|2
573|10
574|6
575|3
